cluster_id,id_pista,name,MapBiom,OSM,OSMPoly,Manual,Dimas,id,i,col,row,area,area_rel,start_date,end_date
340,1402,Pista 1402,1,0,0,0,1,C75L39,5,75,39,764033185.4338673,98.86932869274901,NA,NA
341,71445,Fazenda Jamanxin,0,1,0,0,0,C74L40,5,74,40,764531581.7088426,98.93382341113194,NA,NA
342,1332,Pista 1332,1,0,0,0,1,C76L40,5,76,40,764531581.7088039,98.93382341112692,NA,NA
343,1192,Pista 1192,1,0,0,0,0,C75L40,5,75,40,764531581.7088009,98.93382341112654,NA,NA
344,83587,Aéreo Amazônia,1,1,0,0,0,C75L40,5,75,40,764531581.7088009,98.93382341112654,NA,NA
345,2284,Pista 2284,1,0,0,0,1,C75L41,5,75,41,765015422.277683,98.99643455570991,NA,NA
346,2286,Pista 2286,1,0,0,0,1,C76L41,5,76,41,765015422.2776644,98.9964345557075,NA,NA
347,70411,Aldeia Pykany,0,1,0,0,0,C76L41,5,76,41,765015422.2776644,98.9964345557075,NA,NA
348,2283,Pista 2283,1,0,0,0,0,C75L41,5,75,41,765015422.277683,98.99643455570991,NA,NA
349,2285,Pista 2285,1,0,0,0,0,C76L41,5,76,41,765015422.2776644,98.9964345557075,NA,NA
350,1831,Pista 1831,1,0,0,0,1,C75L42,5,75,42,765484697.9280827,99.05716093436912,NA,NA
351,63,Pista 63,1,0,0,0,0,C77L42,5,77,42,765484697.9280975,99.05716093437104,NA,NA
352,1330,Pista 1330,1,0,0,0,1,C75L43,5,75,43,765939399.7249563,99.11600139086939,NA,NA
353,2291,Pista 2291,1,0,0,0,1,C76L43,5,76,43,765939399.7249609,99.11600139087,NA,NA
354,2290,Pista 2290,1,0,0,0,1,C75L43,5,75,43,765939399.7249563,99.11600139086939,NA,NA
355,59,Pista 59,1,0,0,0,1,C76L44,5,76,44,766379519.0106618,99.1729548048729,NA,NA
356,65429,Aldeia Baú,1,1,0,0,1,C76L44,5,76,44,766379519.0106618,99.1729548048729,NA,NA
357,1069,Pista 1069,1,0,0,0,1,C75L45,5,75,45,766805047.4053876,99.22802009199437,NA,NA
358,189078,Aeroporto de Novo Progresso,1,0,1,0,0,C74L45,5,74,45,766805047.4054286,99.22802009199968,NA,NA
359,1189,Pista 1189,1,0,0,0,0,C74L45,5,74,45,766805047.4054286,99.22802009199968,NA,NA
360,1196,Pista 1196,1,0,0,0,0,C74L45,5,74,45,766805047.4054286,99.22802009199968,NA,NA
361,1076,Pista 1076,1,0,0,0,1,C74L46,5,74,46,767215976.8069139,99.28119620377012,NA,NA
362,762,Pista 762,1,0,0,0,0,C76L47,5,76,47,767612299.3909822,99.33248212770596,NA,NA
363,1088,Pista 1088,1,0,0,0,1,C73L47,5,73,47,767612299.3910061,99.33248212770904,NA,NA
364,62,Pista 62,1,0,0,0,1,C76L48,5,76,48,767994007.6117101,99.38187688733075,NA,NA
365,61,Pista 61,1,0,0,0,1,C76L48,5,76,48,767994007.6117101,99.38187688733075,NA,NA
366,364500,Sítio Primavera,1,0,1,0,0,C74L48,5,74,48,767994007.6117679,99.38187688733824,NA,NA
367,969,Pista 969,1,0,0,0,1,C77L48,5,77,48,767994007.6117827,99.38187688734014,NA,NA
368,918,Pista 918,1,0,0,0,1,C77L48,5,77,48,767994007.6117827,99.38187688734014,NA,NA
369,72326,Serabi,1,1,0,0,0,C72L48,5,72,48,767994007.6117647,99.38187688733781,NA,NA
370,80233,Fazenda Beradão,0,1,0,0,0,C72L48,5,72,48,767994007.6117647,99.38187688733781,NA,NA
371,2252,Pista 2252,1,0,0,0,1,C72L48,5,72,48,767994007.6117647,99.38187688733781,NA,NA
372,51,Pista 51,1,0,0,1,1,C73L49,5,73,49,768361094.2012813,99.4293795421564,NA,NA
373,52,Pista 52,1,0,0,1,1,C74L49,5,74,49,768361094.2013183,99.4293795421612,NA,NA
374,141,Pista 141,1,0,0,0,1,C77L51,5,77,51,769051374.807812,99.51870495560497,NA,NA
375,142,Pista 142,1,0,0,0,1,C77L51,5,77,51,769051374.807812,99.51870495560497,NA,NA
376,143,Pista 143,1,0,0,0,1,C77L51,5,77,51,769051374.807812,99.51870495560497,NA,NA
377,972,Pista 972,1,0,0,0,1,C76L54,5,76,54,769976967.8038347,99.63848085003488,NA,NA
