"data","precip_media_mm"
2018-11-11,0.361111111111111
2018-11-12,0
2018-11-13,0
2018-11-14,0
2018-11-15,0
2018-11-16,0.0694444444444444
2018-11-17,0.354166666666667
2018-11-18,8.29166666666667
2018-11-19,2.29861111111111
2018-11-20,0
2018-11-21,8.22222222222222
2018-11-22,0.118055555555556
2018-11-23,28.5138888888889
2018-11-24,2.89583333333333
2018-11-25,25.9166666666667
2018-11-26,1.13888888888889
2018-11-27,0.722222222222222
2018-11-28,26.9444444444444
2018-11-29,1.42361111111111
2018-11-30,1.25694444444444
2018-12-01,0.0833333333333333
2018-12-02,7.88888888888889
2018-12-03,7.41666666666667
2018-12-04,0.263888888888889
2018-12-05,0.930555555555556
2018-12-06,0.229166666666667
2018-12-07,6.47916666666667
2018-12-08,12.0416666666667
2018-12-09,0
2018-12-10,0.930555555555556
2018-12-11,7.11111111111111
2018-12-12,1.38888888888889
2018-12-13,4.00694444444444
2018-12-14,0.527777777777778
2018-12-15,2.50694444444444
2018-12-16,1.69444444444444
2018-12-17,2.94444444444444
2018-12-18,0.222222222222222
2018-12-19,1.68055555555556
2018-12-20,7.33333333333333
2018-12-21,0
2018-12-22,9.76388888888889
2018-12-23,32.2222222222222
2018-12-24,1.56944444444444
2018-12-25,13.3333333333333
2018-12-26,0.298611111111111
2018-12-27,0.652777777777778
2018-12-28,63.9236111111111
2018-12-29,4.01388888888889
2018-12-30,7.08333333333333
2018-12-31,1.88194444444444
2019-01-01,44.3194444444444
2019-01-02,0.458333333333333
2019-01-03,2.875
2019-01-04,12.6944444444444
2019-01-05,3.95833333333333
2019-01-06,2.70138888888889
2019-01-07,10.5208333333333
2019-01-08,19.9027777777778
2019-01-09,18.5
2019-01-10,25.5277777777778
2019-01-11,0.256944444444444
2019-01-12,0.416666666666667
2019-01-13,15.0486111111111
2019-01-14,2.53472222222222
2019-01-15,0
2019-01-16,0
2019-01-17,3.91666666666667
2019-01-18,0.423611111111111
2019-01-19,15.3125
2019-01-20,1.16666666666667
2019-01-21,15.5972222222222
2019-01-22,40.1944444444444
2019-01-23,0.256944444444444
2019-01-24,0.0138888888888889
2019-01-25,0.986111111111111
2019-01-26,0.368055555555556
2019-01-27,13.0902777777778
2019-01-28,16.2083333333333
2019-01-29,0.631944444444444
2019-01-30,0.555555555555556
2019-01-31,1.19444444444444
2019-02-01,5.54861111111111
2019-02-02,0.0208333333333333
2019-02-03,23.0138888888889
2019-02-04,1.26736111111111
2019-02-05,2.6875
2019-02-06,45.9930555555556
2019-02-07,1.19444444444444
2019-02-08,2.54861111111111
2019-02-09,1.97916666666667
2019-02-10,8.74305555555556
2019-02-11,0.444444444444444
2019-02-12,7.13888888888889
2019-02-13,14.6111111111111
2019-02-14,13.9236111111111
2019-02-15,2.11111111111111
2019-02-16,20.4722222222222
2019-02-17,10.9791666666667
2019-02-18,4.77083333333333
2019-02-19,2.85416666666667
2019-02-20,2.07638888888889
2019-02-21,12.4722222222222
2019-02-22,0.333333333333333
2019-02-23,2.07638888888889
2019-02-24,4.65277777777778
2019-02-25,3.75
2019-02-26,0.0902777777777778
2019-02-27,5.40277777777778
2019-02-28,4.52083333333333
2019-03-01,17.6388888888889
2019-03-02,1.09722222222222
2019-03-03,0.270833333333333
2019-03-04,10.9097222222222
2019-03-05,15.6944444444444
2019-03-06,0.430555555555556
2019-03-07,0
2019-03-08,0.0138888888888889
2019-03-09,8.31944444444444
2019-03-10,6.94444444444444
2019-03-11,18.7013888888889
2019-03-12,0.666666666666667
2019-03-13,1.43055555555556
2019-03-14,0.152777777777778
2019-03-15,0.159722222222222
2019-03-16,13.5069444444444
2019-03-17,6.65277777777778
2019-03-18,0.986111111111111
2019-03-19,8.93055555555556
2019-03-20,1.05555555555556
2019-03-21,22.4722222222222
2019-03-22,7.92361111111111
2019-03-23,0.333333333333333
2019-03-24,9.41666666666667
2019-03-25,10.4166666666667
2019-03-26,0
2019-03-27,0.791666666666667
2019-03-28,0.388888888888889
2019-03-29,26.1875
2019-03-30,1.26388888888889
2019-03-31,0.527777777777778
2019-04-01,0
2019-04-02,1.05555555555556
2019-04-03,5.72222222222222
